AL | National Packaging | scott.matthews@npcoinc.com | 101 Lenwood Road Southeast, Decatur, AL, 35603, United States | 256-350-7047 | National Packaging is a copacker specializing in free flowing powders. We run bags, sticks, and sachets. We have been in business for over 30 years and have packaged for most of the major sweetener brands on the market.
AL | Ropak Manufacturing Company (Associate Member) | sales@ropak.com | 1019 Cedar Lake Road Southeast, Decatur, AL, 35603, United States | 256-350-4241
AZ | Spec Enterprise | 75 West Baseline Road, Suite 40, Gilbert, AZ, 85233, United States | 480-828-2976 | Contract packager focusing on MOQ of 25k and below
AZ | Nomaste Baking Co | hi@nomastebakingco.com | 1915 North 16th Street, Phoenix, AZ, 85006, United States | 4803262303 | In addition to crafting exceptional products at fair prices, Nomaste Baking Co proudly stands apart from other co-packing companies through our commitment to excellence and high standards of service. Our unwavering dedication to client satisfaction means we take the extra time and extra measures to ensure that our products are of the highest quality possible so that through our work, you can shine with your customers. Since 2015, Nomaste Baking Co. has been dedicated to crafting exceptional confectionery products for clients around the nation. Our team loves creating premium products that bring our clients' visions to life and a smile to their customers' faces. Our state-of-the art commercial kitchen facility, coupled with our experienced, professional warehouse & logistics team guarantees your product satisfaction without any of the stress of fulfillment. Our production and fulfillment teams are obsessed with quality and love brainstorming new ideas to help our clients, so whether it's fulfilling products in our existing catalog or dreaming up something new uniquely for you, reach out to learn more about our process and get started!
AZ | Kleen Concepts | 8388 E. Hartford Dr. #105, Scottsdale, AZ, 85255, United States | 480-515-5576 | Kleen Concepts is a manufacturing and packaging company, that specializes in beauty and personal care products. Our capabilities include formulation / blending, liquid filling (of various viscosities), labeling, assembly, retail packaging, re-packaging / bundling / kitting, and total turnkey. We work collaboratively with our customers throughout the entirety of the project, and hold ourselves to the highest of standards. We are a Certified Organic Facility, cGMP certified and have an ISO 22716 certification. We meet ANSI and ASTM standards. Made in USA.
CA | Apackaging Group | sales@apackgroup.com | 1350 Mountain View Circle, Azusa, CA, 91702, United States | 6263855858 | Apackaging Group is a global leader in the cosmetic and beauty packaging industry with decades of experience and innovations that have reshaped the way consumers use products. With factories in the US and Asia, APG offers quality products at unrivaled production speed, with costs below market standard.
CA | Elum, Inc. (Associate Member) | steve@eluminc.com | 4918 Taylor Court, Turlock, CA, 95382, United States | 4019547938 | Elum Inc. is committed to replacing and revolutionizing outdated technology in the labeling and manufacturing industries. Their premier product, PROTOS, is a true game-changer. As the world’s first servo-driven, roll-fed, wrap-around labeler, PROTOS delivers nimble technology with precision and speed that massively reduces the need for maintenance and significantly boosts productivity and uptime!
CA | FulPack Solutions | info@fulpacksolutions.com | 23392 Madero Suite A, Mission Viejo, CA, 92691, United States | 949-504-4963 | FulPack Solutions offers contract packaging, contract filling (liquids), secondary packaging, fulfillment, and engineering services. With our engineering background, we can take on your most challenging, unique packaging needs. We can support your company's growth, not only through contract packaging but also through our engineering services to integrate in-house packaging into your company.
CA | Siddha Flower Essences LLC DBA: Siddha Remedies | alex@siddharemedies.com | 2350 Eastman Avenue Unit 107, Oxnard, CA, 93030, United States | 8005700021 | Siddha Remedies is a manufacturing and packaging company that specializes in liquid filling capable of doing hot fills and handling viscous product. We also manufacture gummies and hard candies. We are capable of do small runs of chocolate bars (2500 per day) and have recipes for Keto Friendly chocolate bars with botanicals. Our capabilities include formulation / blending, liquid filling (of various viscosities), labeling, assembly, retail packaging, re-packaging / bundling / kitting, and total turnkey. We work collaboratively with our customers throughout the entire project. We are GMP Certified, Organic Certified. We have FDA Drug License, Food Processing License which covers Dietary Supplements as well as Cosmetic License. MOQs of 5K-10K depending on Product.
CA | PureNSM | sales@purensm.com | 1055 Bay Boulevard D, Chula Vista, CA, 91911, United States | 6194099077 | PureNSM provides economical and accurate encapsulation services Ninety Percent (90%) of our business is centered around encapsulation services. PureNSM was founded in 1993 specifically to encapsulate supplements without excipients such as magnesium stearate and other chemicals. We are the pioneers in pure manufacturing.
CA | TCM Product, Inc. | info@tcmproductinc.com | 2422 Seaman Avenue, South El Monte, CA, 91733, United States | 6263503350 | With over 10 years of experience, TCM Product Inc is dedicated to providing you with quality service to take your herbal supplement product from vision to reality! Whether you have your own formula, want to enhance a current formulation, or would like to create a custom private label, TCM Product will work with you step-by-step to advise, develop and manufacture this in strict confidentiality and in full compliance.
CA | Aaron Thomas Company, Inc. - Corporate | atbacon@packaging.com | 7421 Chapman Avenue, Garden Grove, CA, 92841-2109, US | 800-394-4776 | Full service toll and turnkey packaging service offering a full range of packaging services from 875,000sf of manufacturiung facilities in Chicago, Memphis, and Los Angeles, Retail units, pouches, stick packs, kits, trays, blister, clam-shells, shrink & bundle wrapping with plain & printed film, counter-floor-pallet displays
